epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.3617,1.07891,2.04014,1.46666,0.59784,0.2412,0.32211,0.13885,1.88697,3.17086,2.28678,0.00056,0.00056,0.00056
2,38.5986,1.07732,1.63777,1.44399,0.31669,0.43243,0.25786,0.09983,2.16004,2.94118,2.83634,0.00106476,0.00106476,0.00106476
3,54.2658,1.11936,1.57283,1.43689,0.11228,0.51351,0.09103,0.02429,2.31796,4.23762,3.37127,0.00149296,0.00149296,0.00149296
4,67.023,1.09295,1.49652,1.44876,0.38633,0.2973,0.26395,0.12138,2.23349,4.37551,2.7375,0.001604,0.001604,0.001604
5,82.0545,1.10678,1.49341,1.45767,0.27423,0.35135,0.25683,0.05416,2.38831,3.16237,3.03135,0.001472,0.001472,0.001472
6,100.855,1.15674,1.59869,1.57535,0.61515,0.51853,0.51089,0.22135,1.91652,2.88036,2.39921,0.00134,0.00134,0.00134
7,116.816,1.12959,1.5259,1.54434,0.29246,0.43243,0.31693,0.15622,1.87529,3.25369,2.30491,0.001208,0.001208,0.001208
8,130.422,1.11332,1.45508,1.52669,0.55939,0.40541,0.43152,0.12763,1.91514,2.42387,2.60647,0.001076,0.001076,0.001076
9,144.313,1.10334,1.4165,1.53923,0.43054,0.54054,0.45907,0.15331,1.9539,2.21059,2.20668,0.000944,0.000944,0.000944
10,159.969,1.03924,1.28015,1.47519,0.81786,0.60703,0.6635,0.32625,1.88914,1.76389,2.2381,0.000812,0.000812,0.000812
11,175.213,0.99997,1.24155,1.42946,0.63897,0.57416,0.62578,0.30462,1.60214,1.72191,1.94487,0.00068,0.00068,0.00068
12,187.946,0.97623,1.20174,1.41147,0.83185,0.62162,0.73375,0.37733,1.61874,1.55491,1.93198,0.000548,0.000548,0.000548
13,202.379,0.95129,1.13225,1.39222,0.8054,0.62162,0.728,0.35207,1.77091,1.52539,2.11776,0.000416,0.000416,0.000416
14,218.495,0.92349,1.08666,1.36917,0.94801,0.62162,0.72971,0.3822,1.59231,1.40043,1.89308,0.000284,0.000284,0.000284
15,232.581,0.869,1.02905,1.31253,0.94248,0.59459,0.73675,0.37832,1.53447,1.43986,1.82976,0.000152,0.000152,0.000152
